id;bezirk;name;shortname;strasse;plz_ort;von;bis;veranstalter;oeffnungszeiten;email;w3;bemerkungen;lat;lng;rss_titel;barrierefrei;immer-kostenlos;Mo;Di;Mi;Do;Fr;Sa;So;closed-exc;closed-exc-readable;hours-exc;hours-exc-readable;ignore;merged;international;action;image;urheberschaft;train;train_distance;short_distance;rss_beschreibung
11;Knautkleeberg-Knauthain;Kleiner Weihnachtsmarkt;Landgasthof Walradus Hof;Emil-Teich-Str. 4;04249 Leipzig;06.12.23;17.12.23;Landgasthof Walradus Hof;16:00-23:59;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/weihnachtsmarkt-13;;51.279671;12.30584502441339;Kleiner Weihnachtsmarkt;unbekannt;1;0;0;16:00-23:59;16:00-23:59;16:00-23:59;16:00-23:59;16:00-23:59;10.12.23,16.12.23;;0;;0;;0;0;;;Straßenbahn 3 bis 'Fortunabadstr.';290;1;Vom ersten bis dritten Advent können sich große und kleine Gäste auf warme und kalte Köstlichkeiten, feine Naschereien, genussvolle Getränke, Adventskalender und vieles mehr freuen.Montag und Dienstag geschlossenMittwoch bis Freitag 16 bis 21 UhrSamstag und Sonntag 14 bis 21 Uhr
12;Gohlis-Süd;Kleiner Weihnachtsmarkt im Gohliser Wannenbad;Gohliser Wannenbad;Georg-Schumann-Straße 116;04155 Leipzig;03.12.23;03.12.23;Gohliser Wannenbad;14:00-18:00;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/weihnachtsmarkt-14;<a class='text-sm underline' target='blank' href='http://leipzig.daznotek.io/post/2023/11/08/vom-Minieren'>Offizielle Seite</a>;51.364352350000004;12.359236933586;Kleiner Weihnachtsmarkt im Gohliser Wannenbad;unbekannt;1;0;0;0;0;0;0;14:00-18:00;0;;0;;0;;0;0;;;Straßenbahn 10 oder 11 bis 'Wiederitzscher Str.';42;1;
13;Gohlis-Mitte;Advent unterm Ginkgobaum: Kulturweihnachtsmarkt;Advent unterm Ginkgobaum;Lützowstraße 19;04157 Leipzig;15.12.23;17.12.23;Budde-Haus - FAIRbund e. V.;15:00-20:00;ticket@budde-haus.de;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/advent-unterm-ginkgobaum-kulturweihnachtsmarkt;<a class='text-sm underline' target='blank' href='https://www.budde-haus.de/veranstaltungen/advent-unterm-ginkgobaum-8/'>Offizielle Seite</a>;51.36376455;12.373770817044264;Advent unterm Ginkgobaum;1;0;0;0;0;0;15:00-20:00;15:00-20:00;15:00-20:00;0;;0;;0;;0;0;;;Tram 12, S-Bahn: S1 und S3 bis Haltestelle S-Bahnhof Gohlis;50;1;Zum dritten Adventswochenende vom 15. bis zum 17. Dezember 2023 lädt das Budde-Haus wieder auf das Gelände zum Kulturweihnachtsmarkt. Mit allem was dazu gehört: Speis und Trank, Lagerfeuer, Weihnachtsbasteleien, Verkaufsständen und natürlich mit einem abwechslungsreichen Kulturprogramm. Und: Es liegt sogar ein großes Buch aus, in das jede und jeder dem Weihnachtsmann schreiben kann, was man ihm schon immer mal sagen wollte.Zur leckeren Einstimmung öffnet unser Biergarten bereits am 14. Dezember, ab 15.00 Uhr zum “Glühwein unterm Ginkgobaum”.15:30 Uhr, Saal: Märchen und Geschichten zur Weihnachtszeit mit Regina und Detlef Vitzthum (Erzählraum e. V.) 17 Uhr, Bühne: Fräulein A. Kapella (Weihnachtliche Lieder aus aller Wel) 18:30 Uhr, Bühne: Klezmer Muskelkater (Yiddish Music reloade)MDR JUMP auf Weihnachstmarkt-Tour macht am 15. Dezember Station auf dem Kulturweihnachtsmarkt des Budde-Hauses.15:30 Uhr, Saal: Märchen und Geschichten zur Weihnachtszeit mit Patrick Niegsch (Erzählraum e. V.) 17 Uhr, Bühne: Slawia und “Singen wir für die Ukraine” (Chöre) 18:30 Uhr, Bühne: Fire X (Feuershow)15:30 Uhr, Saal: Märchen und Geschichten zur Weihnachtszeit mit Susanne Karge (Erzählraum e. V.) 17 Uhr, Bühne: Pop- und Jazzchor Westklang mit einem etwas anderen Weihnachtskonzert 18:00 Uhr, Bühne: Verlosung der Preise des WeihnachtsbilderrätselsFreitag, 15.12.2023 - 15 bis 20 UhrSamstag, 16.12.2023 - 15 bis 20 UhrSonntag, 17.12.2023 - 15 bis 18 UhrDie Veranstaltung findet auf dem Außengelände des Budde-Hauses statt.Der Eintritt zum Kulturweihnachtsmarkt wird nach Körpergröße berechnet. Ab 1,00 Meter = 0,50 Euro, ab 1,50 Meter = 1,00 Euro, ab 2,00 Meter = 2,00 Euro, ab 3,00 Meter = 3,00 Euro, ab 4,00 Meter = kostenfrei Sonderzahlungen ab enormer geistiger Größe sind erwünscht.
14;Graßdorf;Mittelalterlicher Weihnachtsmarkt;Mittelalterlicher Weihnachtsmarkt;Haugwitzwinkel 1;04425 Taucha;02.12.23;03.12.23;Rittergutsschloss Taucha;14:00-23:59;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/mittelalterlicher-weihnachtsmarkt-20231202;;51.3813807;12.4973428;Mittelalterlicher Weihnachtsmarkt;unbekannt;1;0;0;0;0;0;14:00-23:59;14:00-23:59;0;;0;;0;;1;0;;;Straßenbahn 3 bis 'Taucha (bei Leipzig), An der Bürgerruhe';587;0;
15;Altlindenau;Veganer Weihnachtsmarkt in Philippuskirche;Philippuskirche;Aurelienstraße 54;04177 Leipzig;09.12.23;10.12.23;Philippuskirche;12:00-23:59;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/veganer-weihnachtsmarkt-1-20231209;<a class='text-sm underline' target='blank' href='https://veganer-markt-leipzig.de'>Offizielle Seite</a>;51.33195125;12.329398002457262;Veganer Weihnachtsmarkt in Philippuskirche;unbekannt;1;0;0;0;0;0;12:00-23:59;12:00-23:59;0;;0;;0;;1;0;;;Straßenbahn 34 oder 15 bis 'Merseburgerstr.';370;1;
16;Plagwitz;Heilandskirche in Plagwitz;Heilandskirche in Plagwitz;Weißenfelser Straße 16;04229 Leipzig;09.12.23;09.12.23;Heilandskirche in Plagwitz;14:00-23:59;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/adventsmarkt-2;;51.3306668;12.3396974;Heilandskirche in Plagwitz;unbekannt;1;0;0;0;0;0;14:00-23:59;0;0;;0;;0;;0;0;;;Straßenbahn 1 oder 3, oder Bus 74 bis 'Elsterpassage';384;1;Christstollen seit Oktober, „Stille Nacht“ aus der Konserve, Gedrängel in der City – wem die Vorweihnachtszeit zu kommerziell, zu schmalzig, zu hektisch, mit einem Wort: zu unweihnachtlich ist, der sollte einmal auf dem Alternativen Adventsmark in der Plagwitzer Heilandskirche vorbeischauen. Kinder und Erwachsene kommen hier gleichermaßen auf ihre Kosten. Während die Kleinen an einen der vielen Stände spielen und basteln, der Märchenerzählerin zuhören oder sich „Kaspar und der Weihnachtsstern Schnuppe“ der Puppenbühne Hellwig Junior ansehen, können die Großen in aller Ruhe über den Markt schlendern, sich bei Kuchen und Glühwein unterhalten – oder einfach nur die wunderbare Atmosphäre genießen. Verkaufsstände, Adventscafé, Basteln, Puppenspiel, Märchenerzählerin, Geschichten für Kinder und viele Überraschungen mehr. Eintritt frei
17;Stötteritz;Stötteritzer Adventsmarkt;Stötteritzer Adventsmarkt;Oberdorfstraße 15;04299 Leipzig;03.12.23;03.12.23;Gutshof Stötteritz;14:00-19:00;;https://www.gutshof-stoetteritz.de/#;;51.321633649999995;12.42410554555071;Stötteritzer Adventsmarkt;unbekannt;1;0;0;0;0;0;0;14:00-19:00;0;;0;;1;;0;0;;;Straßenbahn 4 bis 'Leipzig, Weiße Str.';451;0;Adventsauftakt auf dem Gutshof Stötteritz. Adventlicher Einkauf mit Waren von lokalen Händlern und Produzenten. Begegnungen mit Bekannten und Nachbarn bei kulinarischem Genuss. 16:00 Uhr: Theater „aHnungslos“ spielt Schwarzlichttheater „Peter und der Wolf“ in der Scheune
18;Connewitz;Weihnachten am Kreuz;Weihnachten am Kreuz;Kochstraße 132;04277 Leipzig;08.12.23;17.12.23;Werk 2;13:00-21:00;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/weihnachten-am-kreuz-1;<a class='text-sm underline' target='blank' href='https://www.werk-2.de/programm/2023-12-08_weihnachten_am_kreuz_2023'>Offizielle Seite</a>;51.3100496;12.3713723;Weihnachten am Kreuz;unbekannt;1;14:00-21:00;14:00-21:00;14:00-21:00;14:00-21:00;13:00-22:00;13:00-22:00;13:00-21:00;0;;15.12.23=13:00-22:00,16.12.23=13:00-22:00;Freitag und Samstag bis 22 Uhr;0;;0;0;weihnachten_am_kreuz.jpg;Jörg Reichert, CC BY-SA 4.0;Straßenbahn 9, 10 oder 11 oder Bus 70 bis 'Leipzig, Connewitz Kreuz';135;1;Es ist wieder soweit: Das gesamte Gelände vom Werk 2 wird zum wundervollen Connewitzer Weihnachtsmarkt. Vom 8.12. bis zum 17.12. präsentieren wieder zahlreiche Händler/-innen ihre handgemachten, kreativen, leckeren und duftenden Produkte.Das Werk 2 freut sich auf alle Besucherinnen und Besucher, von jung bis alt, die es in der Vorweihnachtszeit auf das Gelände der Kulturfabrik Leipzig zieht.Eröffnung am Freitag, 08.12.2023 um 16 Uhr  Montag: Gelände, 14–21 Uhr Dienstag: Gelände, 14–21 Uhr Mittwoch: Gelände, 14–21 Uhr Donnerstag: Gelände, 14–21 Uhr Freitag: Gelände, 13–22 Uhr Samstag: Gelände, 13–22 Uhr Sonntag: Gelände, 13–21 Uhrhttps://www.werk-2.de/programm/2023-12-08_weihnachten_am_kreuz_2023
19;Zentrum-Südost;Weihnachten im Botanischen Garten;Botanischer Garten;Linnéstraße 1;04103 Leipzig;09.12.23;09.12.23;Botanischer Garten;10:00-23:59;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/budenzauber-im-garten;<a class='text-sm underline' target='blank' href='http://www.bota.uni-leipzig.de'>Offizielle Seite</a>;51.32867415;12.391405804762092;Weihnachten im Botanischen Garten;unbekannt;1;0;0;0;0;0;10:00-23:59;0;0;;0;;0;;0;1;;;Straßenbahn 15 oder Bus 60 bis 'Leipzig, Ostplatz';518;0;
20;Gohlis-Süd;Weihnachtsduft und Lichterglanz;Weihnachtsduft und Lichterglanz;Menckestraße 23;04155 Leipzig;29.11.23;21.12.23;Gohliser Schlösschen;15:00-19:00;mail@gohliserschloesschen.de;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/weihnachtsmarkt-5;<a class='text-sm underline' target='blank' href='https://gohliserschloesschen.de/weihnachtsduft/'>Offizielle Seite</a>;51.3567302;12.364272543167537;Weihnachtsduft und Lichterglanz;unbekannt;1;0;0;15:00-19:00;15:00-19:00;15:00-19:00;15:00-19:00;12:00-18:00;10.12.23,16.12.23;Montag und Dienstag;03.12.23=12:00-18:00,10.12.23=12:00-18:00,17.12.23=12:00-18:00;sonntags nur bis 19 Uhr;0;;0;0;;;Straßenbahn 4 bis 'Fritz-Seger-Str.';402;0;Wir begrüßen Sie wieder zu selbstgebackenen süßen und herzhaften Waffeln, gebrannten Mandeln und „hausgeglühtem“ Glühwein, Punsch und heißen Säften bei „Weihnachtsduft und Lichterglanz“. Verweilen Sie bei festlicher Stimmung und zu weihnachtlicher Musik im Barockgarten.Abgerundet wird unser Angebot durch ein abwechslungsreiches Kulturprogramm – Chormusik, Instrumentalisten, gemeinsames Adventsliedersingen, Turmbläser, Weihnachtsgeschichten und vieles mehr.„Weihnachtsduft und Lichterglanz“ ist kein Weihnachtsmarkt !Wir bieten eine Alternative zu den klassischen Weihnachtsmärkten. Ganz bewusst verzichten wir auf Marktbuden und Verkaufsstände und schaffen einen stimmungsvollen und besinnlichen Ort für Kunst, Kultur, Gespräche und geselliges Miteinander.Mittwoch – Samstag: 15:00 – 19:00Sonntag: 12:00 – 18:00
21;Graßdorf;Weihnachtsmarkt Taucha;Weihnachtsmarkt Taucha;Marktplatz Taucha;04425 Taucha;01.12.23;03.12.23;mehrere;14:00-23:59;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/weihnachtsmarkt-8-20231201;;51.38031935;12.500227480821401;Weihnachtsmarkt;unbekannt;1;0;0;0;0;16:00-23:59;14:00-23:59;14:00-23:59;0;;01.12.23=16:00-23:59;Freitag erst ab 16 Uhr;0;;0;0;;;Straßenbahn 3 bis 'Taucha (bei Leipzig), An der Bürgerruhe';771;0;leckere weihnachtliche Köstlichkeiten und Getränke an vielen Ständen, die neue Glühweintasse, unserem Tauchaer Lichterglanz in den Straßen der Innenstadt, ein weihnachtlich-musikalisches Programm von Vereinen und Künstlern an allen drei Tagen, Ankunft des Weihnachtsmanns (Sa. + So. ab 14:00 Uhr), das allseits beliebte Kinderkarussell.
22;Gohlis-Mitte;Winterfest Makerspace;Winterfest Makerspace;Lindenthaler Straße 61-65;04129 Leipzig;02.12.23;02.12.23;Makerspace Leipzig & Kunstanker;11:00-20:00;info@makerspace-leipzig.de;https://villa-leipzig.de/veranstaltung/am/02_12_2023_Winterfest;;51.3664422;12.3651967;Winterfest Makerspace;unbekannt;1;0;0;0;0;0;11:00-20:00;0;0;;0;;0;;0;1;;;Straßenbahn 4 oder 11, oder S1 bis 'Coppiplatz';135;1;Info- und Verkaufsstände sowie kleine Vorführungen geben einen Einblick in die Angebote im ehemaligen Autohaus an der Lindenthaler Straße. Im Makerspace präsentieren die einzelnen Gewerke kleine Mitmachaktionen und Einführungen. Auch ein Verkauf von Produkten aus dem Makerspace wartet auf Menschen, die noch pfiffige Weihnachtsgeschenke suchen.
23;Markkleeberg-Ost;Weihnachtsmarkt Torhaus;Weihnachtsmarkt Torhaus;Kirchstraße 40;04416 Markkleeberg;09.12.23;10.12.23;Torhaus Markkleeberg;14:00-23:59;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/historischer-weihnachtsmarkt-20231209;<a class='text-sm underline' target='blank' href='http://www.torhaus-markkleeberg.de/'>Offizielle Seite</a>;51.277715799999996;12.3894607903441;Weihnachtsmarkt;unbekannt;1;0;0;0;0;0;14:00-23:59;14:00-23:59;0;;0;;0;;0;0;;;S4, S6 oder Straßenbahn 11 bis 'Markkleeberg, Virchowstr.';664;0;
24;Schönefeld-Abtnaundorf;Weihnachtsmarkt Schönefeld;Weihnachtsmarkt Schönefeld;Zeumerstraße 1;04347 Leipzig;03.12.23;03.12.23;Schloss Schönefeld;11:00-18:00;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/weihnachtsmarkt-15;<a class='text-sm underline' target='blank' href='https://verein.schloss-schoenefeld.de/veranstaltungen/weihnachtsmarkt/'>Offizielle Seite</a>;51.3596269;12.4068202;Weihnachtsmarkt;unbekannt;1;0;0;0;0;0;0;11:00-18:00;0;;0;;0;;0;0;;;S4 oder Straßenbahn 1 oder 3 bis 'Leipzig, Rathaus Schönefeld';262;1;Am ersten Adventssonntag verwandelt sich das Schlossareal in einen ansehnlichen Weihnachtsmarkt. Über 30 Weihnachtsbuden zeichnen sich durch handgefertigte, regionale oder fair gehandelte Produkte aus. Im Durchschnitt besuchen 8 bis 10 Tausend Menschen diesen Schönefelder Weihnachtsmarkt.
25;Grünau-Ost;Weihnachtsmarkt Koch-Park;Weihnachtsmarkt Koch-Park;Nikolai-Rumjanzew-Straße 100;04207 Leipzig;03.12.23;03.12.23;Haus Steinstraße, KOMM-Haus und KOMM e.V;13:00-23:59;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/gruenauer-adventszauber;Zufahrt Schönauer Straße;51.3177763;12.3020738;Weihnachtsmarkt;unbekannt;1;0;0;0;0;0;0;13:00-23:59;0;;0;;0;;0;1;;;Straßenbahn 1 bis 'Schönauer-/Ratzelstr.';305;1;
26;Markkleeberg-Mitte;Weihnachtsmarkt Markkleeberg;Weihnachtsmarkt Markkleeberg;Rathausplatz;04416 Markkleeberg;15.12.23;17.12.23;Markkleeberg;12:00-23:59;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/weihnachtsmarkt-rund-ums-eis-20231215;;51.2803595;12.3769892;Weihnachtsmarkt;unbekannt;1;0;0;0;0;17:00-23:59;12:00-23:59;12:00-23:59;0;;15.12.23=17:00-23:59;Freitag erst ab 17 Uhr;0;;0;1;;;S4, S5(X), S6 bis 'Markkleeberg';425;0;Auf dem Weihnachtsmarkt 'Rund ums Eis' auf dem Rathausplatz in Markkleeberg treten die Besucherinnen und Besucher im Eishockey und anderen Schneewettkämpfen gegeneinander an. Einen Snowboardsimulator gibt es ebenfalls.
